,Name,Country,Years active,Proven victims,Possible victims,Notes,Start year,End year,Number of years active,involving children,torture,arsenist,strangulation,sexually motivated,cannibalism,abduction,poison,guns,prison,execution,mental institution,suicide,Methods of killing
0,Luis Garavito,Colombia  Ecuador[3]  Venezuela[3],1992 to 1999[3],138,172–300+,"Child-murderer, torture-killer, and rapist known as ""La Bestia"" (""The Beast""). Confessed to killing 140 boys between eight and 16 years old over a seven-year period in Colombia and neighboring countries.[3] He is suspected of murdering over 300 victims, mostly street children.[4][5]",1992.0,1999,7.0,1,1,0,0,1,0,0,0,1,0,0,0,0,4
1,Pedro López,Colombia  Peru  Ecuador,1969 to 1979,110,300+,"Child-murderer and rapist, known as ""The Monster of the Andes"". Targeted young girls, between the ages of eight and 12. Arrested in 1980 and convicted in 1983 of killing three young girls, but claimed to have killed hundreds. Despite being believed to be one of the most prolific serial killers of the twentieth century, he was released in the late 1990s.[6]",1969.0,1979,10.0,1,0,0,0,1,0,0,0,1,0,0,0,0,3
2,Javed Iqbal,Pakistan,1998 to 1999,100,100,"Child-murderer and rapist, known as ""Kukri"", Iqbal murdered 100 street children by strangling them and covering up his crimes by dissolving the bodies with acid. He was arrested in 1999 thanks to a letter he sent a newspaper, and was set to be executed in the manner described by the judge who stated, ""You will be strangled to death in front of the parents whose children you killed, Your body will then be cut into 100 pieces and put in acid, the same way you killed the children.""[7] However, he died in custody before he could be executed.[8]",1998.0,1999,1.0,1,0,0,1,1,0,0,0,1,0,1,0,0,4
3,Mikhail Popkov,Russia,1992 to 2010,78,81,"Serial rapist-killer nicknamed ""The Werewolf"", who was active for two decades in Angarsk, Irkutsk and Vladivostok. After being convicted of 22 murders in 2015, he confessed to an additional 59 murders, of which he was convicted of 56 in 2018.[9][10]",1992.0,2010,18.0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
4,Daniel Camargo Barbosa,Colombia  Ecuador  Brazil (alleged)[11],1974 to 1986,72,180[11],"Child and woman murderer, believed to have possibly raped and killed over 150 victims, primarily targeting female children as they were more likely to be virgins. Confessed to killing 72 victims. He strangled young girls in Colombia and was arrested, but he escaped from prison and he started killing in Ecuador; rearrested in 1986, he was incarcerated in the same Ecuadorian prison as 300+ serial killer Pedro López.[citation needed]  Camargo was killed in jail by the nephew of one of his victims.[11][12]",1974.0,1986,12.0,1,0,0,1,1,0,0,0,1,1,0,0,0,4
5,Pedro Rodrigues Filho,Brazil,1967 to 2003,71,100+,"He claimed to have killed over 100 victims, 47 of them inmates. He also killed his father and ate a piece of his heart. He killed his first two victims at the age of 14; he was first arrested in 1973. Convicted and sentenced to 128 years, but the maximum one can serve in Brazil is 30 years.[13]",1967.0,2003,36.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
6,Kampatimar Shankariya,India,1977 to 1978,70,70+,"This mysterious Indian serial killer used a hammer to kill over 70 men and women between 1978 and 1979, his last words were, ""I have murdered in vain,"" he declared. ""Nobody should become like me."".
[14][15][16][17]",1977.0,1978,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
7,Yang Xinhai,China,2000 to 2003,67,67,"Known as the ""Monster Killer"". Would enter victims' homes at night and kill using axes, meat cleavers, hammers, and shovels. Executed by gunshot in 2004.[18]",2000.0,2003,3.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
8,Andrei Chikatilo,Soviet Union,1978 to 1990,53,56,"Known as ""The Butcher of Rostov"", ""The Red Ripper"" or ""The Rostov Ripper"". Convicted of the murder of 53 women and children between 1978 and 1990. One man was previously convicted and executed for his first murder. Executed by gunshot in 1994.[19]",1978.0,1990,12.0,1,0,0,0,0,0,0,0,1,0,1,0,0,2
9,Anatoly Onoprienko,Soviet Union  Ukraine,1989 to 1996,52,52+,"Known as ""The Beast of Ukraine"", ""The Terminator"" and ""Citizen O"". Convicted of the murders of nine people in 1989 and 43 people in 1995–1996. Traveled throughout Europe illegally from 1990 to 1995; whether he killed during this time is unknown. Sentenced to death, later commuted to imprisonment for life. Died from heart failure in 2013.[19]",1989.0,1996,7.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
